genome_id,ncbi_taxon_id
GCF_000021805.1,41431
GCF_000020685.1,546414
GCF_001191005.1,1678028
GCF_000014125.1,386415
GCF_000157895.3,557599
GCF_000199675.1,926569
GCF_000007325.1,190304
GCF_000327485.1,593750
GCF_000092125.1,526227
GCF_000092845.1,526224
GCF_000317105.1,56110
GCF_000189775.2,858215
GCF_000191145.1,871585
GCF_001022135.1,61648
GCF_000831485.1,1346
GCF_000763535.1,190893
GCF_000953655.1,449
GCF_001023575.1,1650658
GCF_000953135.1,1212491
GCF_001020955.1,106634
GCF_000024565.1,519441
GCF_000015725.1,420662
GCF_000494755.1,1246995
GCF_002211785.1,549298
GCF_000011805.1,312309
GCF_000016425.1,369723
GCF_001314325.1,33050
GCF_000219805.1,1045854
GCF_000204645.1,596154
GCF_001499615.1,446692
GCF_000218625.1,717231
GCF_000772105.1,1051646
GCF_000013365.1,316058
GCF_000014385.1,203123
GCF_000012645.1,74546
GCF_000007645.1,176280
GCF_000024725.1,472759
GCF_000954135.1,105219
GCF_000021925.1,272564
GCF_000017405.1,439375
GCF_000284335.1,511051
GCF_000195335.1,869210
GCF_000008745.1,115713
GCF_000969905.1,1434123
GCF_000194625.1,693661
GCF_000186885.1,577650
GCF_000731315.1,1028800
GCF_000767055.1,558173
GCF_000092385.1,749414
GCF_000025665.1,439481
GCF_000005825.2,398511
GCF_000344785.1,1121353
GCF_000304455.1,1231626
GCF_000183725.1,709032
GCF_001586165.1,82983
GCF_000018205.1,293614
GCF_001007995.1,1309411
GCF_001269425.1,186490
GCF_000157355.2,565655
GCF_000019685.1,412419
GCF_000828895.1,1458425
GCF_000016605.1,399549
GCF_000026505.1,568703
GCF_000473245.1,1367477
GCF_000018685.1,357809
GCF_000294715.1,1225179
GCF_000019725.1,426355
GCF_000020005.1,457570
GCF_000312705.1,46234
GCF_000017625.1,456442
GCF_000325665.1,1042417
GCF_000828635.1,1223802
GCF_000014705.1,318167
GCF_001021085.1,1277257
GCF_000987835.1,206403
GCF_001028705.1,1348774
GCF_001677275.1,553239
GCF_000013285.1,195103
GCF_000706685.1,1288
GCF_000092905.1,562970
GCF_000010665.1,573370
GCF_000010505.1,431947
GCF_000018545.1,394
GCF_000017585.1,360107
GCF_000590555.1,1348662
GCF_000007925.1,167539
GCF_000349945.1,748247
GCF_000340435.2,1202450
GCF_000023905.1,523794
GCF_000021965.1,521011
GCF_000626635.1,1168034
GCF_001078055.1,1379910
GCF_000327045.1,765912
GCF_001029265.1,315358
GCF_000012665.1,207559
GCF_000017545.1,381764
GCF_000007485.1,203267
GCF_000177615.2,656024
GCF_000183405.1,768670
GCF_000250675.2,1133849
GCF_000011965.2,246200
GCF_000018785.1,441768
GCF_001865855.1,37332
GCF_000165905.1,702459
GCF_000008505.1,281309
GCF_000209655.1,1007105
GCF_000015945.1,399550
GCF_000022145.1,455488
GCF_000190315.1,985053
GCF_001887285.1,300019
GCF_000632845.1,391036
GCF_000517445.1,582419
GCF_000007845.1,198094
GCF_000015305.1,350058
GCF_000092405.1,643648
GCF_000011365.1,224911
GCF_000807255.1,1262449
GCF_000214095.2,743299
GCF_000265425.1,926566
GCF_000739085.1,1068978
GCF_000014765.1,335283
GCF_000022125.1,525146
GCF_000013625.1,375286
GCF_000970025.1,1434108
GCF_000016525.1,420247
GCF_000196275.1,319795
GCF_000069945.1,504474
GCF_000144915.1,666510
GCF_000023065.1,595494
GCF_001878675.1,1482
GCF_001610955.1,33941
GCF_000306725.1,1094980
GCF_000013085.1,269796
GCF_001676785.2,1266923
GCF_000190595.1,867900
GCF_000800805.1,1577791
GCF_000340825.1,1208918
GCF_000196015.1,266264
GCF_000819565.1,1208324
GCF_000183345.1,685038
GCF_000196315.1,216432
GCF_001042595.1,1150423
GCF_000470655.1,1033806
GCF_000025225.2,699246
GCF_000196255.1,298386
GCF_000186245.1,749222
GCF_001187595.1,198467
GCF_000007605.1,227941
GCF_000346595.1,1174529
GCF_001507665.1,1768108
GCF_000299095.1,859653
GCF_000828615.1,1076588
GCF_000009765.2,227882
GCF_000328765.2,1209989
GCF_000185985.2,859654
GCF_000253035.1,765952
GCF_000023825.1,485917
GCF_000439435.1,1276220
GCF_001488575.1,1407499
GCF_000550785.1,1285583
GCF_000473305.1,1400053
GCF_000008565.1,243230
GCF_001274875.1,273035
GCF_000317495.1,1173022
GCF_000332115.1,592029
GCF_000027165.1,365659
GCF_000941075.1,86660
GCF_000328565.1,212767
GCF_001685435.2,1230341
GCF_000020505.1,517417
GCF_000008305.1,265311
GCF_000008645.1,187420
GCF_000699505.1,529884
GCF_000166415.1,656519
GCF_000092225.1,521096
GCF_000008205.1,262719
GCF_000012545.1,339860
GCF_000015285.1,357804
GCF_000147335.1,497965
GCF_000230695.2,666685
GCF_000007985.2,243231
GCF_000092025.1,176299
GCF_000226625.1,1008459
GCF_000017685.1,456481
GCF_000332735.1,1194526
GCF_000186365.1,765177
GCF_000981545.1,1608628
GCF_000022525.1,434131
GCF_000832605.1,1405
GCF_001010805.1,1620392
GCF_000255535.1,1151116
GCF_000024985.1,479434
GCF_001685465.1,45658
GCF_000227685.2,713585
GCF_001027285.1,48
GCF_001578205.1,1408
GCF_001936235.1,109790
GCF_000550805.1,1224164
GCF_000185805.1,648996
GCF_000019785.1,395495
GCF_001267175.1,1698448
GCF_000177235.2,649639
GCF_001189535.1,1658671
GCF_000016745.1,351605
GCF_000021545.1,204536
GCF_000013205.1,321327
GCF_001955715.1,1484693
GCF_000014285.1,391165
GCF_000317065.1,82654
GCF_000725425.1,1343739
GCF_000021825.1,65393
GCF_000212395.1,747365
GCF_000009745.1,196600
GCF_000026325.1,585056
GCF_001077715.1,1592897
GCF_000016985.1,293826
GCF_000213825.1,936154
GCF_000304355.2,1201294
GCF_000829315.1,246273
GCF_000021865.1,272942
GCF_000196535.1,548479
GCF_000470775.1,1389489
GCF_000015645.1,146891
GCF_900078695.1,123899
GCF_000026105.1,384676
GCF_000463505.1,862971
GCF_000195755.1,882
GCF_000953015.1,1581680
GCF_001482365.1,446860
GCF_000022205.1,416348
GCF_000968055.1,1318466
GCF_000012385.1,336407
GCF_000972245.3,135735
GCF_000513295.1,1430440
GCF_000253395.1,1051074
GCF_000008385.1,292805
GCF_000024005.1,485918
GCF_000224105.1,743965
GCF_000524555.1,743966
GCF_000196455.1,1511
GCF_000287355.1,134287
GCF_000025205.1,553190
GCF_001941805.1,40215
GCF_000013765.1,318161
GCF_001281045.1,362837
GCF_000023985.1,573064
GCF_000017105.1,434922
GCF_000600005.1,1196094
GCF_000477435.1,946483
GCF_000231015.2,768672
GCF_000224475.1,756883
GCF_000758685.1,169760
GCF_000747315.1,401472
GCF_001010285.1,230089
GCF_000025625.1,547559
GCF_000400935.1,1276227
GCF_001553605.1,44742
GCF_000189295.2,641491
GCF_000092305.1,573063
GCF_002240355.1,530584
GCF_000195975.1,84588
GCF_000025485.1,572477
GCF_000403645.1,1333523
GCF_000284095.1,927704
GCF_000973105.1,63186
GCF_000212415.1,906968
GCF_001902315.1,61015
GCF_000204565.1,929506
GCF_000389965.1,649831
GCF_000833575.1,161899
GCF_000164865.1,701347
GCF_000013025.1,228405
GCF_000263735.1,1183377
GCF_000183745.1,670487
GCF_001444365.1,58049
GCF_001190945.1,571913
GCF_000020365.1,177437
GCF_000349845.1,1294143
GCF_001620305.1,1051973
GCF_000024085.1,523791
GCF_000010165.1,358681
GCF_000725405.1,1274
GCF_000284035.1,1127134
GCF_000006965.1,266834
GCF_001310255.1,1532555
GCF_000007805.1,223283
GCF_000014905.1,234267
GCF_000299115.1,744985
GCF_000092425.1,649638
GCF_001499655.1,389348
GCF_000015045.1,338966
GCF_000010525.1,438753
GCF_000350305.1,1054217
GCF_000063445.1,351160
GCF_000284415.1,1150469
GCF_000007345.1,188937
GCF_000016085.1,290318
GCF_000015745.1,420246
GCF_000024405.1,526218
GCF_000300255.2,1236689
GCF_001729485.1,47763
GCF_000012605.1,317025
GCF_000013445.1,323259
GCF_000091325.1,637905
GCF_000284295.1,512565
GCF_000019345.1,505682
GCF_000471965.1,1316444
GCF_001558255.1,673
GCF_000020565.1,452471
GCF_001278055.1,1603606
GCF_000012825.1,435590
GCF_000018425.1,477974
GCF_000225465.1,1005057
GCF_000389635.1,86416
GCF_000982825.1,28141
GCF_000186265.1,688270
GCF_000009145.1,228410
GCF_000014045.1,375451
GCF_000178835.2,642492
GCF_000007765.1,227377
GCF_001460635.1,76936
GCF_000698785.1,926571
GCF_000017005.1,467705
GCF_000220625.1,860228
GCF_000236405.1,1075399
GCF_000193375.1,999630
GCF_000085865.1,347256
GCF_000014965.1,335543
GCF_000012845.1,435591
GCF_000165465.1,572479
GCF_000165505.1,572544
GCF_000020905.1,490899
GCF_000970205.1,213585
GCF_000013325.1,279238
GCF_000259275.1,1163745
GCF_000018305.1,397948
GCF_000284615.1,1163748
GCF_000021745.1,395965
GCF_000023925.1,478801
GCF_000013985.1,317655
GCF_000270305.1,1042156
GCF_001420915.1,680279
GCF_000007025.1,272944
GCF_000318015.1,568707
GCF_000236665.1,640081
GCF_000940845.1,66712
GCF_000012885.1,338963
GCF_000185885.1,937773
GCF_000025885.1,572547
GCF_001420855.1,1428
GCF_000014865.1,156889
GCF_000072485.1,522373
GCF_000010825.1,634452
